Response ID,Date started,Date completed,IP address,Response time,Language,Last page saved,Partial save,I have read and fully understand the above statement and consent to taking part in this survey.|Yes,I have read and fully understand the above statement and consent to taking part in this survey.|No,In what year are you currently studying?|First year,In what year are you currently studying?|Second year,In what year are you currently studying?|Third year,In what year are you currently studying?|Fourth year,In what year are you currently studying?|Fifth year,In what year are you currently studying?|Postgraduate," In which of the above timetable slots are you not able to attend a class? You may select a maximum of 5 slots. For instance, if you cannot attend from 12:00 to 13:00 on Wednesdays you would enter 22 as one of your choices. Each slot should be a time when you are not available due to issues such as childcare or health-related matters. |Slot1"," In which of the above timetable slots are you not able to attend a class? You may select a maximum of 5 slots. For instance, if you cannot attend from 12:00 to 13:00 on Wednesdays you would enter 22 as one of your choices. Each slot should be a time when you are not available due to issues such as childcare or health-related matters. |Slot2"," In which of the above timetable slots are you not able to attend a class? You may select a maximum of 5 slots. For instance, if you cannot attend from 12:00 to 13:00 on Wednesdays you would enter 22 as one of your choices. Each slot should be a time when you are not available due to issues such as childcare or health-related matters. |Slot3"," In which of the above timetable slots are you not able to attend a class? You may select a maximum of 5 slots. For instance, if you cannot attend from 12:00 to 13:00 on Wednesdays you would enter 22 as one of your choices. Each slot should be a time when you are not available due to issues such as childcare or health-related matters. |Slot4"," In which of the above timetable slots are you not able to attend a class? You may select a maximum of 5 slots. For instance, if you cannot attend from 12:00 to 13:00 on Wednesdays you would enter 22 as one of your choices. Each slot should be a time when you are not available due to issues such as childcare or health-related matters. |Slot5"," Please identify the timetable slots when you would prefer not to have classes. These are slots when you are free to attend, but would prefer, for whatever reason, not to be timetabled in then, if possible. Please enter your answer as a list of slots separated by slashes e.g. 4/5/8/10/16/21 |Please enter your list of slots here",Under what circumstances might I be willing to have an event on my timetable moved to a less desirable slot? |To allow a student with children to attend to their children,Under what circumstances might I be willing to have an event on my timetable moved to a less desirable slot? |To allow a student with special needs to have a break between classes,Under what circumstances might I be willing to have an event on my timetable moved to a less desirable slot? |To allow a lecturer to have a teaching free day for research,"The students attending one of the events on my timetable wish to request that it is moved to another slot. If the slot that it is currently in suits you well, what % of students would need to be requesting a change before you would consider it?|0-25%","The students attending one of the events on my timetable wish to request that it is moved to another slot. If the slot that it is currently in suits you well, what % of students would need to be requesting a change before you would consider it?|26-50%","The students attending one of the events on my timetable wish to request that it is moved to another slot. If the slot that it is currently in suits you well, what % of students would need to be requesting a change before you would consider it?|51-75%","The students attending one of the events on my timetable wish to request that it is moved to another slot. If the slot that it is currently in suits you well, what % of students would need to be requesting a change before you would consider it?|76-100%","The students attending one of the events on my timetable wish to request that it is moved to another slot. If the slot that it is currently in suits you well, what % of students would need to be requesting a change before you would consider it?|I would not consider such a move.",When being put into a tutorial or practical class the following factors are important to me (choose all that apply)| I am in a group with my friends,When being put into a tutorial or practical class the following factors are important to me (choose all that apply)|I am in a group with people of the same academic ability as me,When being put into a tutorial or practical class the following factors are important to me (choose all that apply)|I am in a group with new people,When being put into a tutorial or practical class the following factors are important to me (choose all that apply)|I am in a group with people from my personal tutor group,When being put into a tutorial or practical class the following factors are important to me (choose all that apply)|I am in a group with people from my course
7dd3dfe631bf41779bf07a20ae99560e,11/09/2018 16:41,11/09/2018 16:41,,14,en-GB,P5,,1,0,0,0,0,1,0,0,2,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
e1f1ce412ca348cb8847baae1748af36,11/09/2018 17:53,,,357,en-GB,P1,,1,0,0,0,0,0,0,1,,,,,,,1,0,1,0,0,0,0,0,1,1,0,0,0
0c44a3fb25c0458c9a1c6fb8955afe78,11/12/2018 17:30,11/12/2018 17:33,,186,en-GB,P5,,1,0,0,0,0,0,1,0,,,,,,,0,0,1,0,0,1,0,0,0,0,0,0,1
f7f8e91a717648e485b8a19a7ae9d0d8,11/12/2018 17:30,,,228,en-GB,P4,,1,0,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
883799a06b9c41e280569792e0518f43,11/12/2018 17:30,,,18,en-GB,P3,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
dcb99cb9b843430586e6ca9fb751051f,11/12/2018 17:30,,,23,en-GB,P3,,1,0,1,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
83366cc62b3f474b8788751abe377ce2,11/12/2018 17:31,,,24,en-GB,P3,,1,0,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
e0d0a607f0d44b63bf3bf4c8ae41f906,11/12/2018 17:31,,,29,en-GB,P3,,1,0,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1e91215d4c064ec4bfdc3bc6252398b6,11/12/2018 17:31,11/12/2018 17:34,,204,en-GB,P5,,1,0,0,0,1,0,0,0,,,,,,,0,1,0,0,0,1,0,0,0,1,0,0,1
03465ef9545a4293a304c434d83b1807,11/12/2018 17:31,,,24,en-GB,P3,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0f5d01647db240769752fa76a5298034,11/12/2018 17:31,11/12/2018 17:42,,655,en-GB,P5,,1,0,1,0,0,0,0,0,,,,,,,1,1,0,0,1,0,0,0,1,0,0,0,0
3b0c0fbd59784f4eb1b1ef2db32c01f5,11/12/2018 17:31,11/12/2018 17:34,,172,en-GB,P5,,1,0,0,0,0,0,0,1,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,1
5df5f0da14a94724a58a16a92ba82b23,11/12/2018 17:31,11/12/2018 17:34,,156,en-GB,P5,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
24b46a3568ed49d6a210d60239d9ebdf,11/12/2018 17:31,11/12/2018 17:34,,170,en-GB,P5,,1,0,0,0,1,0,0,0,,,,,,,1,1,1,0,0,0,1,0,1,1,0,1,1
688c6569adf64d5f938b68a3dce4ffb0,11/12/2018 17:31,11/12/2018 17:34,,133,en-GB,P5,,1,0,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,1,0,0,1,0,0,1
bf468b99c4e9485697306049b8c359e9,11/12/2018 17:31,,,24,en-GB,P2,,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
0fc2a7228cc24068a0e04bf8b81afd06,11/12/2018 17:32,,,17,en-GB,P2,,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2d7be926aa7f43dd9c863547a09270c9,11/12/2018 17:32,,,16,en-GB,P3,,1,0,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
efc1fd0efa424954bb712c146950ae6f,11/12/2018 17:32,11/12/2018 17:36,,234,en-GB,P5,,1,0,0,0,1,0,0,0,,,,,,,1,1,0,0,0,1,0,0,1,1,0,0,1
f8a61eadb5a949538ed637f78f71045a,11/12/2018 17:32,,,15,en-GB,P3,,1,0,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
8cb27f60b71a47ffae5198218b3b37f1,11/12/2018 17:32,11/12/2018 17:35,,199,en-GB,P1,,1,0,0,0,0,1,0,0,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,1
e8a02990e30f4ddcae62187be4f60bc6,11/12/2018 17:32,11/12/2018 17:41,,522,en-GB,P5,,1,0,1,0,0,0,0,0,,,,,,,1,1,0,1,0,0,0,0,1,0,0,0,0
a1506ee971cd4d16aa93d89ba293f9eb,11/12/2018 17:32,11/12/2018 17:38,,328,en-GB,P5,,1,0,0,0,1,0,0,0,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,1
d58ade42a487444e8827aa94b6d64fdb,11/12/2018 17:33,11/12/2018 17:36,,182,en-GB,P5,,1,0,0,0,1,0,0,0,,,,,,,0,1,0,0,0,1,0,0,0,0,0,0,1
1e798c39150b4ef0bca352bcd4b7ebae,11/12/2018 17:33,11/12/2018 17:39,,385,en-GB,P5,,1,0,1,0,0,0,0,0,,,,,,,0,0,0,0,0,0,1,0,1,1,0,0,0
b66375ecc96a4a94ad21e58d31c00b29,11/12/2018 17:34,,,41,en-GB,P3,,1,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
d041fde54c5543438238d0dcf699f939,11/12/2018 17:34,11/12/2018 17:53,,1145,en-GB,P5,,1,0,0,1,0,0,0,0,,,,,,,0,1,1,0,0,1,0,0,1,0,0,0,1
c3c3f164a9254e33922a1f0c0275bc40,11/12/2018 17:34,,,45,en-GB,P3,,1,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1801ac3a87914131a0f54a1351f140a4,11/12/2018 17:35,,,19,en-GB,P3,,1,0,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
a4a37388af3b4191b87d537c402cc05c,11/12/2018 17:35,,,1153,en-GB,P4,,1,0,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
230618b781794024923553c675a7dffd,11/12/2018 17:36,11/12/2018 17:41,,268,en-GB,P5,,1,0,0,0,1,0,0,0,,,,,,,1,0,1,0,0,1,0,0,1,1,0,0,0
5b47df55b2cf4d5a8506e28c28e97f43,11/12/2018 17:38,,,23,en-GB,P3,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
8be2f6191f4a44289d8566b612a363f0,11/12/2018 17:38,,,20,en-GB,P3,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
a88a8fb4c22040ff8151a27fcae678d7,11/12/2018 17:39,11/12/2018 17:41,,139,en-GB,P5,,1,0,0,0,0,0,0,1,,,,,,,1,1,1,0,0,1,0,0,0,0,0,0,1
21758e6e68ac4d1899edbf13fa3045a4,11/12/2018 17:40,11/12/2018 17:46,,364,en-GB,P5,,1,0,0,0,1,0,0,0,,,,,,,1,1,1,0,0,0,1,0,0,0,0,0,1
13ba7bf39ad04251b74ccdca54cb4c4e,11/12/2018 17:40,,,66,en-GB,P4,,1,0,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
56a47b3321de4fc1aed5e6f9407e5ae4,11/12/2018 17:41,,,10,en-GB,P3,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
09520f23f63847e4926f23a7d1a5c1ed,11/12/2018 17:41,,,17,en-GB,P3,,1,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
56ca9b7732434cef9d4f1fed4471d46a,11/12/2018 17:42,11/12/2018 17:46,,217,en-GB,P5,,1,0,0,1,0,0,0,0,,,,,,,1,1,1,0,0,1,0,0,0,0,0,0,1
6d15c578e2b1472ab46f3c9834f9489f,11/12/2018 17:43,11/12/2018 17:54,,640,en-GB,P5,,1,0,0,0,0,0,0,1,,,,,,,1,1,0,0,0,1,0,0,0,1,0,0,1
82d317c2ae814c038f4a2db41463274a,11/12/2018 17:43,,,57,en-GB,P3,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
fdeca08a49094210b4e2ce1c538e28a7,11/12/2018 17:44,,,20,en-GB,P3,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
a8151cba9f6949709aaf14939e360177,11/12/2018 17:44,11/12/2018 17:49,,295,en-GB,P5,,1,0,0,0,1,0,0,0,,,,,,,1,1,1,0,0,1,0,0,1,0,0,1,1
2bdee0a6810941b18b9131bcdf770e3e,11/12/2018 17:46,,,74,en-GB,P4,,1,0,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
b3cb567050364f9ba9050137fc1800f1,11/12/2018 17:47,,,21,en-GB,P3,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
48666fcc1af04402bc03453f2fa99960,11/12/2018 17:47,,,15,en-GB,P3,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
e41db18d28954074ba1b8ccf3c95e82c,11/12/2018 17:48,11/12/2018 17:52,,241,en-GB,P5,,1,0,0,0,0,1,0,0,,,,,,,1,1,0,0,0,0,1,0,1,0,0,0,1
b27378b9681348978909ca3e4091709a,11/12/2018 17:48,,,57,en-GB,P3,,1,0,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5c18171c67764be281c5402d44201a31,11/12/2018 17:52,,,20,en-GB,P3,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
974e62b7021043b9873c6f7bc8dfa3cd,11/12/2018 17:53,,,48,en-GB,P3,,1,0,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2362915e4a61449a857bdbe37f615336,11/12/2018 17:55,11/12/2018 18:04,,543,en-GB,P5,,1,0,0,1,0,0,0,0,,,,,,,1,1,1,0,1,0,0,0,0,1,0,1,1
875b304a34fd49cf86e16f974139d7ce,11/12/2018 17:56,,,13,en-GB,P2,,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
b449d6288cd24f179e4d5988225c2d82,11/12/2018 17:58,,,17,en-GB,P3,,1,0,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
995b2456a92640e4b27c6b8c04320953,11/12/2018 17:59,11/12/2018 18:03,,205,en-GB,P5,,1,0,0,1,0,0,0,0,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0
d196bef130554724b34f7cd8d600fa25,11/12/2018 18:00,,,224,en-GB,P5,,1,0,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0
e7f45876f4774b9fa3edd21630e25fc9,11/12/2018 18:00,,,59,en-GB,P3,,1,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
c8a40a14c8164c14970d7856b0a62189,11/12/2018 18:05,,,56,en-GB,P1,,1,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5c2d7403051845ba85aa0f6e0641c88c,11/12/2018 18:06,11/12/2018 18:10,,214,en-GB,P5,,1,0,0,0,1,0,0,0,,,,,,,1,1,1,0,0,1,0,0,1,0,0,0,1
b7cbfca8bef84a5a85ba93b7210330d6,11/12/2018 18:08,11/12/2018 18:10,,159,en-GB,P5,,1,0,0,0,0,0,0,1,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,1
